X,y
0.000000000000000000e+00,0.000000000000000000e+00
8.209783158841420236e-02,1.000000000000000056e-01
1.716820311109232000e-01,2.000000000000000111e-01
2.658075327010243072e-01,2.999999999999999889e-01
3.652844529489520098e-01,4.000000000000000222e-01
4.686420067598321970e-01,5.000000000000000000e-01
5.791030623150441592e-01,5.999999999999999778e-01
6.891702126074670254e-01,6.999999999999999556e-01
8.051029532302407254e-01,8.000000000000000444e-01
9.325651945658666175e-01,9.000000000000000222e-01
1.047132418399322473e+00,1.000000000000000000e+00
1.170128188261480906e+00,1.100000000000000089e+00
1.301036331396439705e+00,1.199999999999999956e+00
1.446181604496090012e+00,1.300000000000000044e+00
1.595442959582038300e+00,1.399999999999999911e+00
1.750199615827312094e+00,1.500000000000000000e+00
1.907881284372516806e+00,1.600000000000000089e+00
2.067657058624610578e+00,1.699999999999999956e+00
2.236513499786929593e+00,1.800000000000000044e+00
2.405882167299381091e+00,1.899999999999999911e+00
2.568862638958111067e+00,2.000000000000000000e+00
2.725756172299088842e+00,2.100000000000000089e+00
2.890760635454612260e+00,2.200000000000000178e+00
3.073543045361424308e+00,2.299999999999999822e+00
3.258622811834591015e+00,2.399999999999999911e+00
3.448317188652688436e+00,2.500000000000000000e+00
3.639129125928459274e+00,2.600000000000000089e+00
3.837535819742573739e+00,2.700000000000000178e+00
4.022172970076733023e+00,2.799999999999999822e+00
