X,y
0.000000000000000000e+00,0.000000000000000000e+00
2.545128936451810167e-02,5.000000000000000000e-01
5.087009748942920156e-02,1.000000000000000000e+00
7.617944814497849826e-02,1.500000000000000000e+00
1.012867007456846047e-01,2.000000000000000000e+00
1.258637886859889088e-01,2.500000000000000000e+00
1.499306484132507944e-01,3.000000000000000000e+00
1.741439671706661863e-01,3.500000000000000000e+00
1.978188741759495106e-01,4.000000000000000000e+00
2.213437076002408022e-01,4.500000000000000000e+00
2.446361265089460890e-01,5.000000000000000000e+00
2.677233166234390116e-01,5.500000000000000000e+00
2.903528267547341724e-01,6.000000000000000000e+00
3.128321224665646105e-01,6.500000000000000000e+00
3.350791288467730999e-01,7.000000000000000000e+00
